offset,result,steps,price
0.45,SUCCESS,0,1002.19
0.5,SUCCESS,0,1002.19
0.75,SUCCESS,2,1002.19
1.0,SUCCESS,0,1002.19
0.35,SUCCESS,1,1002.19
0.4,TIMEOUT,51,
0.45,SUCCESS,2,1002.39
0.5,SUCCESS,2,1002.39
0.75,SUCCESS,1,1002.39
1.0,SUCCESS,1,1002.39
0.35,TIMEOUT,51,
0.4,SUCCESS,0,1002.49
0.45,SUCCESS,0,1002.49
0.5,SUCCESS,0,1002.49
0.75,SUCCESS,1,1002.49
1.0,SUCCESS,1,1002.49
0.35,SUCCESS,4,1002.49
0.4,SUCCESS,0,1002.49
0.45,SUCCESS,2,1002.49
0.5,SUCCESS,0,1002.49
0.75,SUCCESS,1,1002.49
1.0,SUCCESS,1,1002.49
0.35,SUCCESS,0,1002.49
0.4,SUCCESS,0,1002.49
0.45,SUCCESS,2,1002.49
0.5,TIMEOUT,51,
0.75,SUCCESS,0,1002.79
1.0,SUCCESS,0,1002.79
0.35,SUCCESS,1,1002.79
0.4,SUCCESS,0,1002.79
0.45,SUCCESS,0,1002.79
0.5,SUCCESS,2,1002.79
0.75,SUCCESS,1,1002.79
1.0,SUCCESS,1,1002.79
0.35,SUCCESS,0,1002.79
0.4,SUCCESS,3,1002.79
0.45,SUCCESS,3,1002.79
0.5,TIMEOUT,51,
0.75,SUCCESS,1,1003.89
1.0,SUCCESS,0,1003.89
0.35,SUCCESS,2,1003.89
0.4,SUCCESS,1,1003.89
0.45,SUCCESS,5,1003.89
0.5,SUCCESS,1,1003.99
0.75,SUCCESS,2,1003.99
1.0,SUCCESS,2,1003.99
0.35,TIMEOUT,51,
0.4,SUCCESS,2,1004.09
0.45,SUCCESS,0,1004.09
0.5,SUCCESS,0,1004.09
0.75,SUCCESS,1,1004.09
1.0,SUCCESS,1,1004.09
0.35,SUCCESS,3,1004.09
0.4,SUCCESS,0,1004.09
0.45,TIMEOUT,51,
0.5,SUCCESS,0,1004.39
0.75,SUCCESS,2,1004.39
1.0,SUCCESS,0,1004.39
0.35,SUCCESS,1,1004.39
0.4,SUCCESS,1,1004.39
0.45,SUCCESS,0,1004.39
0.5,SUCCESS,1,1004.39
0.75,SUCCESS,0,1004.39
1.0,SUCCESS,3,1004.39
0.35,SUCCESS,1,1004.39
0.4,TIMEOUT,51,
0.45,SUCCESS,1,1004.49
0.5,SUCCESS,0,1004.49
0.75,SUCCESS,1,1004.49
1.0,SUCCESS,0,1004.49
0.35,SUCCESS,5,1004.49
0.4,SUCCESS,0,1004.49
0.45,SUCCESS,1,1004.49
0.5,SUCCESS,1,1004.49
0.75,SUCCESS,1,1004.49
1.0,SUCCESS,1,1004.49
0.35,SUCCESS,1,1004.49
0.4,SUCCESS,0,1004.49
0.45,SUCCESS,0,1004.49
0.5,SUCCESS,0,1004.49
0.75,SUCCESS,0,1004.49
1.0,SUCCESS,0,1004.49
0.35,SUCCESS,0,1004.49
0.4,SUCCESS,2,1004.49
0.45,SUCCESS,0,1004.49
0.5,SUCCESS,1,1004.49
0.75,SUCCESS,1,1004.39
1.0,SUCCESS,2,1004.39
0.35,SUCCESS,0,1003.89
0.4,SUCCESS,1,1003.79
0.45,SUCCESS,1,1003.79
0.5,SUCCESS,0,1003.69
0.75,SUCCESS,0,1003.69
1.0,SUCCESS,0,1003.69
0.35,SUCCESS,1,1003.69
0.4,SUCCESS,1,1003.69
0.45,SUCCESS,0,1003.69
0.5,SUCCESS,1,1003.69
0.75,SUCCESS,0,1003.69
1.0,SUCCESS,1,1003.69
0.35,SUCCESS,0,1003.69
0.4,SUCCESS,0,1003.69
0.45,SUCCESS,4,1003.69
0.5,SUCCESS,1,1003.59
0.75,SUCCESS,2,1003.59
1.0,SUCCESS,1,1003.59
0.35,SUCCESS,1,1003.59
0.4,SUCCESS,1,1003.5
0.45,SUCCESS,0,1003.59
0.5,SUCCESS,2,1003.49
0.75,SUCCESS,0,1003.49
