offset,result,steps,price
0.1,SUCCESS,0,1001.19
0.12,SUCCESS,0,1001.19
0.25,SUCCESS,3,1001.19
0.0,SUCCESS,5,1001.1
0.01,SUCCESS,1,1001.11
0.05,SUCCESS,2,1001.15
0.1,SUCCESS,1,1001.19
0.12,SUCCESS,3,1001.19
0.25,SUCCESS,0,1001.19
0.0,SUCCESS,8,1001.1
0.01,SUCCESS,1,1001.11
0.05,SUCCESS,1,1001.15
0.1,SUCCESS,0,1001.19
0.12,SUCCESS,2,1001.19
0.25,SUCCESS,0,1001.19
0.0,SUCCESS,16,1001.1
0.01,SUCCESS,0,1001.11
0.05,SUCCESS,0,1001.15
0.1,SUCCESS,0,1001.19
0.12,SUCCESS,0,1001.19
0.25,SUCCESS,0,1001.19
0.0,SUCCESS,16,1001.1
0.01,SUCCESS,1,1001.11
0.05,SUCCESS,0,1001.15
0.1,SUCCESS,1,1001.19
0.12,SUCCESS,0,1001.19
0.25,SUCCESS,0,1001.19
0.0,SUCCESS,14,1001.1
0.01,SUCCESS,0,1001.11
0.05,SUCCESS,1,1001.15
0.1,SUCCESS,0,1001.19
0.12,SUCCESS,0,1001.19
0.25,SUCCESS,1,1001.19
0.0,SUCCESS,18,1001.1
0.01,SUCCESS,0,1001.11
0.05,SUCCESS,2,1001.15
0.1,SUCCESS,2,1001.19
0.12,SUCCESS,3,1001.19
0.25,SUCCESS,0,1001.19
0.0,SUCCESS,21,1001.1
0.01,SUCCESS,1,1001.11
0.05,SUCCESS,4,1001.15
0.1,SUCCESS,6,1001.19
0.12,TIMEOUT,51,
0.25,SUCCESS,2,1001.59
0.0,SUCCESS,23,1001.5
0.01,SUCCESS,2,1001.51
0.05,SUCCESS,1,1001.55
0.1,SUCCESS,1,1001.59
0.12,SUCCESS,2,1001.59
0.25,SUCCESS,1,1001.59
0.0,SUCCESS,34,1001.5
0.01,SUCCESS,0,1001.51
0.05,SUCCESS,1,1001.55
0.1,SUCCESS,0,1001.59
0.12,SUCCESS,3,1001.59
0.25,SUCCESS,2,1001.59
0.0,SUCCESS,18,1001.5
0.01,SUCCESS,0,1001.51
0.05,SUCCESS,3,1001.55
0.1,SUCCESS,1,1001.59
0.12,SUCCESS,0,1001.59
0.25,SUCCESS,0,1001.59
0.0,SUCCESS,15,1001.5
0.01,SUCCESS,0,1001.51
0.05,SUCCESS,0,1001.55
0.1,SUCCESS,2,1001.59
0.12,SUCCESS,4,1001.59
0.25,SUCCESS,1,1001.59
0.0,SUCCESS,22,1001.5
0.01,SUCCESS,0,1001.51
0.05,SUCCESS,0,1001.55
0.1,SUCCESS,1,1001.59
0.12,SUCCESS,1,1001.59
0.25,SUCCESS,2,1001.59
0.0,SUCCESS,24,1001.5
0.01,SUCCESS,0,1001.51
0.05,SUCCESS,5,1001.55
0.1,SUCCESS,1,1001.59
0.12,SUCCESS,1,1001.59
0.25,SUCCESS,0,1001.59
0.0,SUCCESS,11,1001.5
0.01,SUCCESS,3,1001.51
0.05,SUCCESS,1,1001.55
