step,bid,ask,mid,spread,scenario,timestamp
0,0.0,0.0,0,0.0,stressed_market,1768730982.286015
1,997.0,1003.0,1000.0,6.0,stressed_market,1768730982.296461
2,997.4,1000.0,998.7,2.6000000000000227,stressed_market,1768730982.2989829
3,996.8,998.7,997.75,1.900000000000091,stressed_market,1768730982.2995079
4,997.6,997.9,997.75,0.2999999999999545,stressed_market,1768730982.299975
5,997.6,997.9,997.75,0.2999999999999545,stressed_market,1768730982.300374
6,997.7,997.9,997.8,0.1999999999999318,stressed_market,1768730982.300768
7,997.6,997.9,997.75,0.2999999999999545,stressed_market,1768730982.301219
8,997.6,997.9,997.75,0.2999999999999545,stressed_market,1768730982.3016589
9,994.9,997.8,996.3499999999999,2.8999999999999773,stressed_market,1768730982.302046
10,993.8,997.8,995.8,4.0,stressed_market,1768730982.302689
11,994.6,997.0,995.8,2.3999999999999773,stressed_market,1768730982.3033001
12,993.7,995.8,994.75,2.099999999999909,stressed_market,1768730982.3038101
13,994.6,994.9,994.75,0.2999999999999545,stressed_market,1768730982.304176
14,992.3,995.8,994.05,3.5,stressed_market,1768730982.304527
15,992.2,995.8,994.0,3.599999999999909,stressed_market,1768730982.3048918
16,993.6,994.4,994.0,0.7999999999999545,stressed_market,1768730982.305253
17,991.4,996.6,994.0,5.2000000000000455,stressed_market,1768730982.305569
18,992.4,995.6,994.0,3.2000000000000455,stressed_market,1768730982.305881
19,993.1,994.9,994.0,1.7999999999999545,stressed_market,1768730982.306165
20,993.1,994.9,994.0,1.7999999999999545,stressed_market,1768730982.306505
21,989.3,998.7,994.0,9.400000000000091,stressed_market,1768730982.306846
22,994.0,996.7,995.35,2.7000000000000455,stressed_market,1768730982.307155
23,995.3,998.3,996.8,3.0,stressed_market,1768730982.307474
24,995.5,998.1,996.8,2.6000000000000227,stressed_market,1768730982.30781
25,996.7,996.9,996.8,0.1999999999999318,stressed_market,1768730982.3081658
26,996.8,996.9,996.8499999999999,0.10000000000002274,stressed_market,1768730982.308521
27,996.8,997.6,997.2,0.8000000000000682,stressed_market,1768730982.308974
28,997.2,997.6,997.4000000000001,0.39999999999997726,stressed_market,1768730982.309344
29,997.4,997.6,997.5,0.20000000000004547,stressed_market,1768730982.309706
30,997.4,997.6,997.5,0.20000000000004547,stressed_market,1768730982.3100832
31,997.2,997.8,997.5,0.599999999999909,stressed_market,1768730982.310438
32,997.2,997.8,997.5,0.599999999999909,stressed_market,1768730982.311074
33,997.4,997.6,997.5,0.20000000000004547,stressed_market,1768730982.311523
34,997.5,997.6,997.55,0.10000000000002274,stressed_market,1768730982.311924
35,997.4,997.6,997.5,0.20000000000004547,stressed_market,1768730982.312355
36,997.5,997.6,997.55,0.10000000000002274,stressed_market,1768730982.3128
37,997.5,997.6,997.55,0.10000000000002274,stressed_market,1768730982.313409
38,997.5,997.6,997.55,0.10000000000002274,stressed_market,1768730982.313812
39,997.1,998.0,997.55,0.8999999999999773,stressed_market,1768730982.314232
40,997.4,997.7,997.55,0.3000000000000682,stressed_market,1768730982.314543
41,995.9,999.2,997.55,3.300000000000068,stressed_market,1768730982.314861
42,997.2,997.9,997.55,0.6999999999999318,stressed_market,1768730982.315179
43,997.2,997.9,997.55,0.6999999999999318,stressed_market,1768730982.315541
44,997.5,997.6,997.55,0.10000000000002274,stressed_market,1768730982.315872
45,997.5,997.6,997.55,0.10000000000002274,stressed_market,1768730982.3162189
46,994.6,997.6,996.1,3.0,stressed_market,1768730982.3165498
47,995.7,996.5,996.1,0.7999999999999545,stressed_market,1768730982.317025
48,995.7,996.5,996.1,0.7999999999999545,stressed_market,1768730982.3173718
49,995.7,996.1,995.9000000000001,0.39999999999997726,stressed_market,1768730982.317775
50,992.7,996.1,994.4000000000001,3.3999999999999773,stressed_market,1768730982.318103
51,992.7,996.1,994.4000000000001,3.3999999999999773,stressed_market,1768730982.323671
52,993.0,995.8,994.4,2.7999999999999545,stressed_market,1768730982.326421
53,993.0,995.8,994.4,2.7999999999999545,stressed_market,1768730982.328133
54,992.6,996.09,994.345,3.490000000000009,stressed_market,1768730982.3292859
55,991.2,996.09,993.645,4.889999999999986,stressed_market,1768730982.330176
56,993.6,996.09,994.845,2.490000000000009,stressed_market,1768730982.331222
57,993.6,996.7,995.1500000000001,3.1000000000000227,stressed_market,1768730982.332339
58,994.4,995.9,995.15,1.5,stressed_market,1768730982.333725
59,993.6,999.0,996.3,5.399999999999977,stressed_market,1768730982.334763
60,995.8,996.8,996.3,1.0,stressed_market,1768730982.335819
61,993.9,998.7,996.3,4.800000000000068,stressed_market,1768730982.336828
62,995.2,997.4,996.3,2.199999999999932,stressed_market,1768730982.337934
63,994.8,997.8,996.3,3.0,stressed_market,1768730982.33886
64,995.0,996.3,995.65,1.2999999999999545,stressed_market,1768730982.3400772
65,993.7,996.3,995.0,2.599999999999909,stressed_market,1768730982.340991
66,994.3,995.7,995.0,1.400000000000091,stressed_market,1768730982.341939
67,993.2,996.3,994.75,3.099999999999909,stressed_market,1768730982.3429928
68,994.0,995.5,994.75,1.5,stressed_market,1768730982.344159
69,994.4,994.8,994.5999999999999,0.39999999999997726,stressed_market,1768730982.346302
70,994.0,994.8,994.4,0.7999999999999545,stressed_market,1768730982.3474581
71,992.3,994.8,993.55,2.5,stressed_market,1768730982.34864
72,993.2,993.9,993.55,0.6999999999999318,stressed_market,1768730982.349618
73,993.1,994.0,993.55,0.8999999999999773,stressed_market,1768730982.350806
74,993.1,994.0,993.55,0.8999999999999773,stressed_market,1768730982.35174
75,991.6,995.5,993.55,3.8999999999999773,stressed_market,1768730982.35274
76,993.1,994.0,993.55,0.8999999999999773,stressed_market,1768730982.353963
77,993.2,993.9,993.55,0.6999999999999318,stressed_market,1768730982.354935
78,991.8,995.3,993.55,3.5,stressed_market,1768730982.3559868
79,992.0,995.1,993.55,3.1000000000000227,stressed_market,1768730982.356871
80,990.5,996.6,993.55,6.100000000000023,stressed_market,1768730982.357719
81,990.1,997.0,993.55,6.899999999999977,stressed_market,1768730982.358561
82,991.2,995.9,993.55,4.699999999999932,stressed_market,1768730982.359444
83,992.2,994.9,993.55,2.699999999999932,stressed_market,1768730982.360368
84,993.5,994.4,993.95,0.8999999999999773,stressed_market,1768730982.361324
85,990.2,997.2,993.7,7.0,stressed_market,1768730982.362143
86,990.9,996.5,993.7,5.600000000000023,stressed_market,1768730982.3628259
