step,bid,ask,mid,spread,scenario,timestamp
60,999.6,999.69,999.645,0.09000000000003183,hft_dominated,1768731038.067731
61,999.2,999.6,999.4000000000001,0.39999999999997726,hft_dominated,1768731038.068825
62,999.3,999.4,999.3499999999999,0.10000000000002274,hft_dominated,1768731038.0708532
63,999.2,999.4,999.3,0.1999999999999318,hft_dominated,1768731038.071998
64,999.2,999.4,999.3,0.1999999999999318,hft_dominated,1768731038.0732439
65,998.5,999.4,998.95,0.8999999999999773,hft_dominated,1768731038.074271
66,998.7,999.0,998.85,0.2999999999999545,hft_dominated,1768731038.075445
67,998.7,999.0,998.85,0.2999999999999545,hft_dominated,1768731038.0766551
68,998.4,999.0,998.7,0.6000000000000227,hft_dominated,1768731038.078031
69,998.5,998.9,998.7,0.39999999999997726,hft_dominated,1768731038.079345
70,998.6,998.8,998.7,0.1999999999999318,hft_dominated,1768731038.080713
71,998.4,999.0,998.7,0.6000000000000227,hft_dominated,1768731038.081753
72,998.6,998.7,998.6500000000001,0.10000000000002274,hft_dominated,1768731038.082916
73,998.3,998.7,998.5,0.40000000000009095,hft_dominated,1768731038.083881
74,998.2,998.7,998.45,0.5,hft_dominated,1768731038.0851789
75,998.4,998.6,998.5,0.20000000000004547,hft_dominated,1768731038.0863008
76,998.3,998.7,998.5,0.40000000000009095,hft_dominated,1768731038.0872982
77,998.4,998.6,998.5,0.20000000000004547,hft_dominated,1768731038.088307
78,998.4,998.6,998.5,0.20000000000004547,hft_dominated,1768731038.0894709
79,998.4,998.6,998.5,0.20000000000004547,hft_dominated,1768731038.090414
80,998.4,998.6,998.5,0.20000000000004547,hft_dominated,1768731038.0912771
81,998.4,998.6,998.5,0.20000000000004547,hft_dominated,1768731038.092364
82,998.5,998.6,998.55,0.10000000000002274,hft_dominated,1768731038.0932631
83,998.5,998.7,998.6,0.20000000000004547,hft_dominated,1768731038.0943182
84,998.5,998.7,998.6,0.20000000000004547,hft_dominated,1768731038.095179
85,998.5,998.6,998.55,0.10000000000002274,hft_dominated,1768731038.0961401
86,998.4,998.6,998.5,0.20000000000004547,hft_dominated,1768731038.09702
87,998.2,998.6,998.4000000000001,0.39999999999997726,hft_dominated,1768731038.09787
88,998.4,998.6,998.5,0.20000000000004547,hft_dominated,1768731038.098746
89,998.4,998.6,998.5,0.20000000000004547,hft_dominated,1768731038.099638
90,998.4,998.7,998.55,0.3000000000000682,hft_dominated,1768731038.100441
91,998.4,998.6,998.5,0.20000000000004547,hft_dominated,1768731038.101152
92,998.4,998.6,998.5,0.20000000000004547,hft_dominated,1768731038.10194
93,998.4,998.6,998.5,0.20000000000004547,hft_dominated,1768731038.102709
94,998.4,998.6,998.5,0.20000000000004547,hft_dominated,1768731038.10348
95,998.2,998.8,998.5,0.599999999999909,hft_dominated,1768731038.104286
96,998.5,998.6,998.55,0.10000000000002274,hft_dominated,1768731038.1051068
97,998.5,998.7,998.6,0.20000000000004547,hft_dominated,1768731038.105948
98,998.5,998.8,998.65,0.2999999999999545,hft_dominated,1768731038.107007
99,998.5,998.7,998.6,0.20000000000004547,hft_dominated,1768731038.107838
100,998.5,998.7,998.6,0.20000000000004547,hft_dominated,1768731038.108686
101,998.5,998.7,998.6,0.20000000000004547,hft_dominated,1768731038.109517
102,998.5,998.7,998.6,0.20000000000004547,hft_dominated,1768731038.110516
103,998.5,998.7,998.6,0.20000000000004547,hft_dominated,1768731038.111375
104,998.5,998.7,998.6,0.20000000000004547,hft_dominated,1768731038.112212
105,998.5,998.7,998.6,0.20000000000004547,hft_dominated,1768731038.113066
106,998.5,998.6,998.55,0.10000000000002274,hft_dominated,1768731038.113937
107,998.5,998.6,998.55,0.10000000000002274,hft_dominated,1768731038.114959
108,998.3,998.6,998.45,0.3000000000000682,hft_dominated,1768731038.115814
109,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.1180391
110,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.119295
111,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.120577
112,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.123992
113,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.1262112
114,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.1278348
